ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
14068,AF,Administrative Processing,2022AF12175,ANK,2022-Jul-18,2022-Sep-09,53,53
10795,AF,Administrative Processing,2022AF12673,KIN,2022-Jul-22,2022-Aug-10,19,19
9111,AF,Administrative Processing,2022AF13003,MRV,2022-Jul-20,2022-Jul-28,8,8
12434,AF,Issued,2022AF13207,ABJ,2022-Jul-21,2022-Aug-23,33,33
14846,AF,Refused,2022AF13500,MRV,2022-Jul-13,2022-Sep-14,63,63
13330,AF,Issued,2022AF13666,KIN,2022-Jul-21,2022-Sep-01,42,42
16845,AF,Issued,2022AF13758,KIN,2022-Jul-15,2022-Sep-29,76,76
10800,AF,Issued,2022AF13770,KIN,2022-Jul-15,2022-Aug-10,26,26
16847,AF,Refused,2022AF13819,KIN,2022-Sep-30,,,337
9900,AF,Administrative Processing,2022AF13840,KIN,2022-Jul-12,2022-Aug-04,23,23
8164,AF,Refused,2022AF13859,KIN,2022-Jul-12,,,417
16848,AF,Issued,2022AF13925,KIN,2022-Jul-22,2022-Sep-29,69,69
8168,AF,Refused,2022AF14175,KIN,2022-Jul-19,,,410
13335,AF,Issued,2022AF14397,LOM,2022-Jul-22,2022-Sep-01,41,41
10804,AF,Administrative Processing,2022AF14415,KIN,2022-Jul-22,2022-Aug-12,21,21
16855,AF,Refused,2022AF14441,KIN,2022-Jul-22,2022-Sep-30,70,70
11564,AF,Administrative Processing,2022AF14545,KIN,2022-Jul-12,2022-Aug-17,36,36
10805,AF,Issued,2022AF14605,MRV,2022-Jul-13,2022-Aug-09,27,27
16857,AF,Issued,2022AF14692,KIN,2022-Jul-15,2022-Sep-29,76,76
8176,AF,Refused,2022AF14712,MRV,2022-Jul-16,,,413
13337,AF,Administrative Processing,2022AF14903,KIN,2022-Jul-22,2022-Sep-01,41,41
12448,AF,Issued,2022AF15110,ABJ,2022-Jul-13,2022-Aug-23,41,41
8180,AF,Refused,2022AF15250,ABJ,2022-Jul-20,,,409
12449,AF,Refused,2022AF15275,KIN,2022-Jul-19,2022-Aug-25,37,37
11569,AF,Ready,2022AF15287,KIN,2022-Jul-15,2022-Aug-17,33,33
15747,AF,Administrative Processing,2022AF15288,KIN,2022-Jul-15,2022-Sep-22,69,69
16868,AF,Issued,2022AF15415,MRV,2022-Jul-13,2022-Sep-29,78,78
9906,AF,Administrative Processing,2022AF15494,KIN,2022-Jul-12,2022-Aug-05,24,24
12450,AF,Issued,2022AF15532,KIN,2022-Jul-15,2022-Aug-25,41,41
